,FRP,MOs,ACAd,ACAv,PL,ILA,ORBl,ORBm,ORBvl,AId,AIv,AIp,GU,VISC,SSs,SSp-bfd,SSp-tr,SSp-ll,SSp-ul,SSp-un,SSp-n,SSp-m,MOp,VISal,VISl,VISp,VISpl,VISli,VISpor,VISrl,VISa,VISam,VISpm,RSPagl,RSPd,RSPv,AUDd,AUDp,AUDpo,AUDv,TEa,PERI,ECT
VISpl,1.92E-06,1.62E-05,7.21E-05,4.46E-05,1.52E-05,7.79E-06,1.60E-05,2.55E-05,9.73E-05,4.92E-06,1.35E-05,1.16E-05,7.23E-06,1.22E-05,1.95E-05,4.80E-05,4.57E-05,1.24E-05,3.29E-06,4.74E-06,2.06E-06,1.14E-06,3.68E-06,0.000943606,0.00259612,0.00120483,0.00275568,0.00234249,0.002012481,0.000358099,0.000215252,0.00078289,0.000849793,0.000584708,0.000316046,4.51E-05,0.000157592,0.000147803,0.000392824,0.000115915,0.000352532,0.000109043,0.000171366
VISli,5.44E-06,4.60E-05,0.000173487,8.57E-05,3.75E-05,1.74E-05,5.34E-05,6.17E-05,0.00023091,1.09E-05,2.98E-05,2.71E-05,1.20E-05,2.10E-05,6.27E-05,0.000117795,0.000212048,5.07E-05,1.34E-05,2.09E-05,3.68E-06,1.85E-06,1.44E-05,0.002367291,0.003767898,0.001840268,0.00229019,0.004866856,0.003902513,0.000784025,0.000735367,0.001549043,0.001612992,0.000975433,0.000523864,7.23E-05,0.000955342,0.001067318,0.002273482,0.000589838,0.001179498,0.000163869,0.00034889
VISpor,2.95E-06,2.12E-05,8.68E-05,5.42E-05,2.37E-05,1.78E-05,3.86E-05,5.10E-05,0.000154002,1.18E-05,2.84E-05,2.58E-05,1.39E-05,1.93E-05,2.84E-05,5.84E-05,9.46E-05,2.48E-05,6.05E-06,7.93E-06,2.13E-06,1.35E-06,6.40E-06,0.001464118,0.002875539,0.001568058,0.002158297,0.004973971,0.005022814,0.000482954,0.000406051,0.000990495,0.001285337,0.000788807,0.000435714,4.35E-05,0.000337915,0.000492565,0.001084021,0.000523259,0.001429762,0.000137038,0.000408409
VISrl,1.88E-06,7.31E-05,0.00018487,5.55E-05,1.22E-05,5.84E-06,2.98E-05,1.40E-05,0.000104646,2.14E-06,4.19E-06,3.17E-06,2.89E-06,1.49E-05,0.000124109,0.000385237,0.000268157,7.26E-05,4.90E-05,0.000124224,5.98E-06,1.87E-06,2.55E-05,0.001900311,0.001469164,0.001125927,0.000444288,0.001107658,0.00060229,0.001398234,0.000617966,0.000852028,0.000631119,0.000214313,0.000211615,6.26E-05,0.000495666,0.000226909,0.000648539,0.000109712,0.000182504,3.68E-05,3.82E-05
VISa,4.25E-06,0.00017078,0.000647975,0.000274319,0.000114123,6.27E-05,0.000107705,0.000151947,0.000577062,3.95E-06,1.34E-05,2.83E-06,3.58E-06,1.31E-05,0.000129171,0.000452412,0.001235274,0.000434986,0.000188582,0.000318053,1.25E-05,2.29E-06,9.67E-05,0.001563162,0.000796395,0.000690578,0.000282699,0.000949955,0.000322529,0.001146829,0.002894919,0.00430927,0.001944,0.001324276,0.000885198,0.000430225,0.000679924,0.000198217,0.000689044,0.000121324,0.000217896,2.01E-05,2.94E-05
VISam,3.62E-06,0.000194114,0.000987204,0.000522347,0.000164584,9.40E-05,0.000130451,0.000222766,0.000915746,4.87E-06,1.54E-05,3.10E-06,3.56E-06,6.94E-06,6.47E-05,0.000257358,0.00091494,0.000202488,5.60E-05,8.86E-05,5.95E-06,1.77E-06,5.93E-05,0.002043907,0.001309794,0.001121977,0.000604989,0.001339408,0.000520199,0.001217074,0.00355067,0.006736514,0.004364539,0.002440643,0.001598917,0.000807951,0.000657445,0.000218286,0.000846724,9.36E-05,0.000283533,1.06E-05,2.64E-05
VISpm,1.58E-06,8.98E-05,0.000499668,0.00039649,7.65E-05,5.43E-05,4.64E-05,0.000115056,0.000532643,3.03E-06,6.34E-06,2.26E-06,3.16E-06,2.27E-06,1.78E-05,0.000105905,0.000279113,8.30E-05,2.07E-05,3.16E-05,4.60E-06,1.90E-06,2.58E-05,0.001309378,0.001155606,0.001376474,0.000804877,0.001060404,0.000433239,0.000855586,0.001331825,0.003519888,0.004297648,0.002009295,0.001440729,0.000874667,0.000183082,6.33E-05,0.000290788,3.34E-05,0.000151321,7.77E-06,2.68E-05
RSPagl,2.60E-06,8.08E-05,0.000423831,0.000342363,6.77E-05,3.89E-05,4.47E-05,9.23E-05,0.000371843,3.08E-06,6.63E-06,2.71E-06,3.09E-06,3.58E-06,3.52E-05,8.70E-05,0.000740178,0.000395356,4.76E-05,4.23E-05,3.14E-06,1.64E-06,5.19E-05,0.000743923,0.000734416,0.000752215,0.000547707,0.000634578,0.000295497,0.000366724,0.00111608,0.002445669,0.002179803,0.001808612,0.001253394,0.000782535,0.000265312,6.70E-05,0.000283654,6.86E-05,0.000134842,7.26E-06,2.08E-05
RSPd,1.22E-06,0.000142945,0.000554208,0.000522515,3.69E-05,2.66E-05,2.32E-05,4.69E-05,0.000174928,2.27E-06,4.28E-06,1.97E-06,1.86E-06,1.80E-06,1.69E-05,9.05E-05,0.000397136,0.000165273,3.51E-05,4.29E-05,1.43E-06,9.28E-07,3.18E-05,0.000463341,0.000509223,0.00062656,0.000465252,0.000373723,0.000206611,0.000412801,0.000851452,0.001710045,0.001543479,0.001607694,0.002412208,0.001951568,0.000114094,2.61E-05,0.000128673,2.18E-05,7.41E-05,6.14E-06,1.57E-05
RSPv,1.45E-06,0.000200213,0.000689082,0.001010244,4.29E-05,5.05E-05,1.71E-05,5.70E-05,9.89E-05,2.20E-06,4.72E-06,1.21E-06,1.25E-06,1.14E-06,1.42E-05,0.000110941,0.000380752,0.000138927,4.10E-05,5.51E-05,8.80E-07,4.78E-07,3.30E-05,0.000302093,0.000283832,0.000410736,0.000615238,0.000202316,0.000188009,0.00047892,0.000807908,0.001149727,0.000997385,0.00126058,0.002622716,0.002944927,6.27E-05,1.05E-05,4.94E-05,9.98E-06,6.09E-05,6.40E-06,2.20E-05
AUDd,2.81E-06,4.86E-05,5.96E-05,1.19E-05,9.61E-06,5.54E-06,2.49E-05,1.32E-05,7.55E-05,5.55E-06,1.02E-05,7.18E-06,1.03E-05,5.49E-05,0.000343216,0.000303438,0.000705308,0.000145215,5.24E-05,9.48E-05,2.02E-05,4.24E-06,3.03E-05,0.001760613,0.000451149,0.000187795,0.000149213,0.000958453,0.000299973,0.000714665,0.001008961,0.000956027,0.000540262,0.000260168,5.58E-05,5.88E-06,0.004354511,0.004187032,0.003900468,0.001627155,0.000788318,8.28E-05,9.42E-05
AUDp,1.21E-06,2.55E-05,4.27E-05,1.70E-05,1.19E-05,1.41E-05,1.99E-05,2.15E-05,6.37E-05,7.25E-06,1.75E-05,1.45E-05,1.06E-05,4.28E-05,0.000165581,0.000119054,0.000254918,6.59E-05,2.35E-05,4.43E-05,5.14E-06,2.07E-06,1.50E-05,0.000924882,0.000387687,0.00020704,0.000196861,0.000780328,0.000372753,0.000414155,0.000503999,0.00056355,0.000422689,0.000211933,5.84E-05,4.17E-06,0.003006548,0.005209008,0.0041624,0.002302485,0.001077295,5.56E-05,0.000162468
AUDpo,2.17E-06,4.98E-05,0.000124106,4.05E-05,2.13E-05,1.00E-05,4.26E-05,2.98E-05,0.000185152,7.25E-06,1.68E-05,9.61E-06,7.04E-06,2.01E-05,0.000149998,0.000172979,0.000369446,7.63E-05,2.59E-05,4.57E-05,4.31E-06,1.39E-06,2.14E-05,0.002252526,0.000934171,0.000440617,0.00050881,0.001800413,0.000914277,0.000721814,0.00101316,0.001335013,0.000945,0.000456476,0.000139635,1.41E-05,0.003014246,0.00410862,0.007013189,0.001502717,0.001427782,7.35E-05,0.000158512
AUDv,1.67E-05,3.07E-05,3.36E-05,2.13E-05,3.91E-05,7.68E-05,4.64E-05,6.47E-05,5.83E-05,3.36E-05,7.80E-05,9.03E-05,4.06E-05,0.000159175,0.000180065,0.000101114,0.000102473,5.06E-05,3.99E-05,5.47E-05,5.42E-05,1.65E-05,2.69E-05,0.000566062,0.000307271,0.000180412,0.00014761,0.000576368,0.00040899,0.000260006,0.000253733,0.000286417,0.000257869,0.00014613,6.61E-05,6.72E-06,0.001916648,0.004132104,0.002421145,0.002323684,0.001127198,0.000228344,0.000594945
TEa,2.98E-05,3.40E-05,5.73E-05,3.56E-05,6.12E-05,0.000109063,7.78E-05,9.14E-05,0.000107287,6.33E-05,0.000130431,0.000169589,7.50E-05,0.000322806,0.000124818,7.03E-05,7.86E-05,3.42E-05,3.08E-05,3.85E-05,3.34E-05,2.03E-05,2.27E-05,0.000608895,0.000755037,0.000441732,0.0005317,0.001416268,0.001470284,0.000236988,0.000218848,0.000364084,0.000422022,0.000258542,0.00013829,1.71E-05,0.000589423,0.001171425,0.001507727,0.000960993,0.001298087,0.000389506,0.001296073
PERI,5.02E-05,4.37E-05,5.27E-05,3.60E-05,9.96E-05,0.00019432,0.000112217,0.000142056,0.000105375,0.000102406,0.000218198,0.00028485,0.000116473,0.000496865,0.000158875,7.34E-05,5.48E-05,3.79E-05,4.52E-05,5.41E-05,5.01E-05,3.12E-05,3.20E-05,0.000161038,0.000194013,0.000122262,0.00017206,0.000356257,0.00055236,0.000102405,8.29E-05,0.00010424,0.000113392,9.43E-05,5.53E-05,1.20E-05,0.000196605,0.000324309,0.000240569,0.000613035,0.001107369,0.00065076,0.001864293
ECT,4.60E-05,4.00E-05,4.55E-05,3.05E-05,8.42E-05,0.000158594,0.000106222,0.000118066,9.24E-05,9.70E-05,0.000195604,0.000261247,0.000115986,0.0005389,0.000164431,6.93E-05,4.84E-05,3.28E-05,4.17E-05,5.10E-05,4.88E-05,3.03E-05,2.95E-05,0.000169785,0.00020968,0.00013207,0.000175428,0.000399141,0.000568985,9.99E-05,7.84E-05,0.000103461,0.000119862,9.24E-05,5.44E-05,1.06E-05,0.000211112,0.000358098,0.000270875,0.000599051,0.001164919,0.000573541,0.002036082
