mouse,probe_position,stim_current,stim_freq,unitID,waveform_duration,waveform_halfwidth,waveform_rep_slope,waveform_REP,waveform_amplitude,waveform_velocity_above,waveform_velocity_below,VL_pre,MMR_Pre,MMR_Post,MMR_stimOn,angle_pre_ch15,Nspikes_pre,inst_amp_pre_peak_ch,inst_amp_StimOn_peak_ch,inst_amp_post_peak_ch,pvalue_ch15_pre,VL_stimOn,angle_stimOn_ch15,Nspikes_StimOn,pvalue_ch15_stimOn,VL_post,angle_post_ch15,Nspikes_post,pvalue_ch15_post,peak_ch,area_peak_ch,depth_peak_ch,error_waveform,area_stim_tip,distance_peakch_stim_tip
mouse577578,close,1,sine_140Hz,61,0.4544554455445545,0.1471647164716472,378.07828684785983,0.2900090009000902,139.36698343960256,-0.6867671691792288,-0.4807370184254611,0.0935687077371327,0.3417688164792339,0.28805529669215,0.3270531166711566,4.101877123069646,238.0,7.037663952964425,7.929011553702375,7.13130243140661,0.0554223090357543,0.0660036361581109,5.3131441133234745,191.0,0.4043651203154467,0.0296258769435466,2.5422552052227685,250.0,0.7533768640221461,26,CL,3340,0.061683104984676,SSp-tr6a,2.732901388634431
mouse577578,close,1,sine_140Hz,64,0.5211521152115213,0.2017101710171017,125.94700003339312,0.368856885688569,69.85895717328279,1.569753529552524,0.206030150753769,0.033909227422496,0.2997750218829625,0.3133512122904897,0.3492147268128077,5.634561799621085,260.0,7.523200533983927,8.060355346152175,7.346810894509869,0.7750432680146013,0.0656858673159311,4.554033376779513,169.0,0.1678822508768599,0.0705442366380763,3.859540153744672,218.0,0.0644065949134197,29,CL,3320,0.0376776288599569,SSp-tr6a,2.6799020504488595
mouse577578,close,1,sine_140Hz,63,0.6167416741674169,0.3407740774077408,35.69208508765445,0.3648064806480648,78.71965119071456,-0.2747068676716918,-0.6180904522613067,0.0310291396400957,0.1763549123494995,0.1905199533955188,0.1912835247655904,4.525127628097641,1067.0,7.523200533983927,8.060355346152175,7.346810894509869,0.0124246585717521,0.0315861448520518,4.791028590537247,976.0,0.2010863635606594,0.0529239986361844,4.859669471549121,936.0,0.0617891272947034,29,CL,3320,0.0219439421284982,SSp-tr6a,2.6799020504488595
mouse577578,close,1,sine_140Hz,65,0.6210621062106212,0.1879387938793879,262.7093255410475,0.3256525652565256,121.5323542996898,-0.2747068676716909,0.0,0.037404147249438,0.3857873437951688,0.347527276650561,0.3532715656060849,2.6520729010113486,157.0,7.523200533983927,8.060355346152175,7.346810894509869,0.8138883244263807,0.0638654973778503,0.4141441615435512,155.0,0.3426059675407398,0.0997579683369955,4.498838722881878,220.0,0.02586443752681,29,CL,3320,0.0177361904095684,SSp-tr6a,2.6799020504488595
mouse577578,close,1,sine_140Hz,66,0.5257425742574258,0.2495049504950495,116.26484846268706,0.338883888388839,58.1319603265835,1.030150753768844,-0.5494137353433836,0.0455765394943856,0.3655281305861928,0.414286699142782,0.3982661960967412,0.4940874630035387,132.0,7.256507405531096,7.920037833429049,7.275369145366954,0.5836325324304922,0.0600804170897437,1.7058040109057682,120.0,0.9193371108211812,0.072346418072348,5.403826151531298,97.0,0.7428558595146164,30,CL,3300,0.0705685096261588,SSp-tr6a,2.6799020504488595
mouse577578,close,1,sine_140Hz,68,0.5184518451845186,0.1906390639063906,170.25765503346113,0.3361836183618361,75.61442578802091,-1.7855946398659963,0.0,0.0251640282922103,0.1130527095906975,0.1268369112838494,0.1157678618175446,4.76514801107887,3141.0,7.523301072513054,8.067259021991617,7.321154783977303,0.0381180804330179,0.0244690607956343,4.701510020360874,2982.0,0.1855531724904177,0.0202429912112947,4.684491922963837,2431.0,0.1489045245968502,31,CL,3300,0.0216544333822233,SSp-tr6a,2.6799020504488595
mouse577578,close,1,sine_140Hz,70,0.4927992799279929,0.2111611161116111,266.1677777676188,0.3105310531053105,122.74164108245154,0.206030150753769,-0.2747068676716921,0.0497458042245096,0.2068697737555529,0.2031755842022399,0.1858702029484748,5.789580852163911,1000.0,7.85511873393726,8.642792428399327,7.7119671717272755,0.0030586331107584,0.0220204730270773,3.9393348997157895,994.0,0.2490913481256848,0.0264580937436402,4.880813241813953,795.0,0.2343350957074192,33,CL,3280,0.0173356569077203,SSp-tr6a,2.6558896814438664
mouse577578,close,1,sine_140Hz,73,0.5276327632763277,0.186048604860486,362.2377370358782,0.3259225922592259,134.16287130003704,-0.343383584589615,-1.0988274706867664,0.0268509284347385,0.2447535465820968,0.3117607816565729,0.3050962894257593,3.7781380173818153,391.0,7.240599280828684,8.08584140218043,7.313216647172854,0.8978793849288063,0.0613918027469464,2.002544182856256,294.0,0.1922932411763656,0.0471420027097506,5.870828529457836,229.0,0.2033026564091731,34,CL,3260,0.0211881589249403,SSp-tr6a,2.631895704620531
mouse577578,close,1,sine_140Hz,72,0.5519351935193522,0.216021602160216,115.9677754140032,0.3432043204320432,74.45964561561662,0.4807370184254606,-0.6180904522613067,0.0246719346166329,0.2276351434863572,0.2162098707094125,0.1897691401730226,2.603932010794722,587.0,7.240599280828684,8.08584140218043,7.313216647172854,0.0714255534481716,0.0311388934840433,3.6991873477415615,733.0,0.7043191493738421,0.0196111220644828,1.3870695177334422,679.0,0.8252446021002927,34,CL,3260,0.0209365639458905,SSp-tr6a,2.631895704620531
mouse577578,close,1,sine_140Hz,75,0.5468046804680469,0.1863186318631863,231.3786372840466,0.3537353735373538,104.06464901749835,0.0686767169179227,-0.0686767169179227,0.0386973863214057,0.2438843987485779,0.2282541340203955,0.2472702072950542,0.3664421634734017,459.0,7.857563449537366,8.603043857691466,7.800564404287797,0.4960022042814847,0.0579049145157878,1.5197503561025687,753.0,0.077444935058713,0.043392190279234,4.38963790483466,659.0,0.1235181477420453,35,CL,3260,0.0173975100168867,SSp-tr6a,2.631895704620531
mouse577578,close,1,sine_140Hz,76,0.6272727272727274,0.1965796579657965,138.28520657480658,0.3137713771377137,66.74539336972892,0.2747068676716921,-0.6180904522613071,0.0407593738356264,0.2957851634609578,0.2830570564515658,0.2852553743471113,3.70055829961821,232.0,7.857563449537366,8.603043857691466,7.800564404287797,0.8334925488950454,0.0392449746417696,0.1791736596603067,264.0,0.899415034970241,0.0418276411818071,4.923130980459527,348.0,0.2378647405013014,35,CL,3260,0.0407373785959779,SSp-tr6a,2.631895704620531
mouse577578,close,1,sine_140Hz,78,0.5781278127812782,0.2324932493249325,134.04502250391448,0.3245724572457245,74.87288744634368,1.0301507537688444,0.1373534338358455,0.029506689640197,0.1789086191045003,0.1696294738344523,0.1837829685881544,5.75909365981993,1026.0,7.559923878785187,8.444330778672951,7.433776772069575,0.2647884361872447,0.0372703443102554,4.820924786155843,1015.0,0.1655355281703887,0.0306011140658051,4.284972439579148,910.0,0.2421484918356198,36,CL,3240,0.0256384276038094,SSp-tr6a,2.6030030733750587
mouse577578,close,1,sine_140Hz,79,0.5149414941494149,0.2381638163816382,223.94175033201853,0.3116111611161118,128.6815370199457,0.4807370184254602,-0.4807370184254606,0.0199924436811016,0.181012813185751,0.2178267225330428,0.1960781150312791,3.8449393781055017,801.0,8.167728766592678,8.826117843679532,7.876081213012253,0.3380404926009149,0.0354077690144851,4.326853250410942,740.0,0.9199708933845854,0.0444288357764344,0.2826480686231978,658.0,0.0211000382193019,37,CL,3240,0.0129688797695182,SSp-tr6a,2.6030030733750587
mouse577578,close,1,sine_140Hz,80,0.5270927092709272,0.1628262826282628,462.2987884503846,0.2408640864086408,158.88321366756773,-0.1373534338358455,-0.4807370184254611,0.0499116279784809,0.3111058106282344,0.3430199546492966,0.3232725022282787,2.8544465494570104,220.0,8.167728766592678,8.826117843679532,7.876081213012253,0.8494532486042496,0.0770841334435795,5.604627661755092,192.0,0.4950861800343131,0.0601012013234566,1.9455456718017727,204.0,0.4088276877308613,37,CL,3240,0.0202691127425193,SSp-tr6a,2.6030030733750587
mouse577578,close,1,sine_140Hz,403,0.564086408640864,0.2287128712871288,154.44876693439295,0.3866786678667869,86.8426537588433,0.068676716917923,-0.2747068676716921,0.3472862828577813,0.7899131914990715,0.9373373995361652,0.8729292889871522,1.4326149833965856,4.0,8.167728766592678,8.826117843679532,7.876081213012253,0.7586625984115504,0.660687941298357,3.769548553106112,3.0,0.3785668374883485,1.0,4.727308515652169,1.0,0.465831162611322,37,CL,3240,0.2647788783543983,SSp-tr6a,2.6030030733750587
mouse577578,close,1,sine_140Hz,88,0.5470747074707472,0.2030603060306031,241.03498301860463,0.285958595859586,126.03047893951452,0.0,-0.4807370184254611,0.0424734521275141,0.1689527793176304,0.1792003296604936,0.1950829896685602,3.4587569665123152,1506.0,8.396488885624395,8.955444059796523,8.11189846472154,0.0293318673523122,0.0323995920459124,2.835709335063844,871.0,0.7089846284376968,0.0241087205541747,5.681846380840161,1163.0,0.6376868643688824,41,CL,3200,0.0250811141943566,SSp-tr6a,2.5550195693966806
