mouse,probe_position,stim_current,stim_freq,unitID,peak_ch,waveform_duration,waveform_REP,transient_type,transient_onset,transient_offset,transient_peak_value,meanFR_pre_10s,stdFR_pre_10s,meanFR_pre_1s,stdFR_pre_1s,meanFR_stimOn_10s,meanFR_stimOn_1s,meanFR_stimOn_01s,meanFR_stimOn_last_01s,meanFR_stimOn_last_1s,area_peak_ch,depth_peak_ch,error_waveform,area_stim_tip,distance_peakch_stim_tip
mouse638329,close,5,sine_28Hz,8,54,0.3159128978224455,0.5153364281968557,,,,,11.97734180096215,5.378780781054817,16.109710188988497,5.201934938398448,10.296493850655889,13.152961672531047,11.478345394094251,12.464864002451655,10.087917107023678,NPC,2660,0.015750341914965,or,2.47765009636147
mouse638329,close,5,sine_28Hz,21,121,0.6180904522613065,0.5991112550983501,,,,,7.519226749009981,3.647521081534325,9.56680389116478,3.466447062045664,6.098255070051363,6.697437212377394,4.523625548261507,2.8857760088070536,5.780933066475984,HPF,2000,0.0188619670120479,or,1.8102140757380052
mouse638329,close,5,sine_28Hz,23,122,0.6043551088777218,0.140335874047061,,,,,25.272878353701863,6.852283112740323,29.24077933699281,7.012518362335344,23.484785891329945,24.654363223079,28.08755531620089,21.758204546879718,23.63765277852062,SUB,1980,0.101177787415621,or,1.8102140757380052
mouse638329,close,5,sine_28Hz,24,122,0.5356783919597988,0.5376759861207551,,,,,4.4728351236397605,3.3134877667403084,4.124721075105284,2.8580600842848205,4.267080783534131,4.3474718311867,5.46844273794607,3.642016660136602,4.459962253260439,SUB,1980,0.0234113153080849,or,1.8102140757380052
mouse638329,close,5,sine_28Hz,26,122,0.604355108877722,0.6322846040567631,,,,,10.174573119238715,4.978850168605661,12.891328558750043,5.02140049110721,9.592275299331805,9.277292755094482,14.792056247998076,7.628423750869961,8.876330807610337,SUB,1980,0.0217684502072422,or,1.8102140757380052
mouse638329,close,5,sine_28Hz,27,122,0.5768844221105527,0.4149137241302502,,,,,11.868608288633297,4.086564838813377,11.62316903236814,4.235574625135282,11.995682945375142,11.08700247885867,11.25533413654679,15.447958131296598,12.943749128890538,SUB,1980,0.0435443839265715,or,1.8102140757380052
mouse638329,close,5,sine_28Hz,28,123,0.6180904522613065,0.3159445512703639,,,,,3.951418192063537,3.0934726229004816,3.270526667303717,2.481266077183939,3.789477552784666,2.9140020519401744,3.101134849175835,0.0,3.563952629479332,SUB,1980,0.0318563145286809,or,1.8010413654327877
mouse638329,close,5,sine_28Hz,30,125,0.6180904522613065,0.2817287485913785,D,0.0519999999944289,0.9479999999939324,0.0,0.5326097879610089,1.1554600823201493,0.4999999999999999,0.9313404439270312,0.26,0.1999999999999999,1.0,0.9005903217620609,0.3,SUB,1960,0.1169028194032736,or,1.768827295130873
mouse638329,close,5,sine_28Hz,31,125,0.5494137353433837,0.715261219710999,,,,,8.980223445252053,3.628243046819663,9.508483204661252,3.70418807385088,7.823656015204567,6.826799141185099,9.815040454535565,8.498655501814149,8.162440888745857,SUB,1960,0.029442448091074,or,1.768827295130873
mouse638329,close,5,sine_28Hz,126,125,0.5494137353433837,0.4838561642228372,,,,,5.7539413011078775,3.193605614992069,5.486540658386054,2.682559422214712,6.608454791097873,5.158531250651191,6.521379830417963,7.972709610391674,7.02339321559691,SUB,1960,0.0251212057906012,or,1.768827295130873
mouse638329,close,5,sine_28Hz,33,126,0.5219430485762143,0.4691277199791242,,,,,1.7271163658376971,2.1035962208430727,0.6964759242747228,1.0837423693520636,1.651346504354907,1.1251306115659017,2.134650435490709,0.3748441904076614,2.44244069642697,HPF,1940,0.0258358644453392,or,1.7778146697561028
mouse638329,close,5,sine_28Hz,34,126,0.6867671691792295,0.3429531533510371,,,,,10.96596391051098,4.623928312650095,9.794908825605892,4.505385950487578,9.680963698624256,8.267821120932565,8.397033516729774,11.616515953175776,11.034535218537552,HPF,1940,0.020818811119442,or,1.7778146697561028
mouse638329,close,5,sine_28Hz,37,129,0.5631490787269682,0.472561250952037,,,,,9.58659187236726,3.9229394217763263,8.786090211506783,3.498622346048066,9.27529907963338,7.043000439391151,11.18178004986491,3.8421311346472726,9.321671672548876,SUB,1920,0.0320933672488229,or,1.7367354432958408
mouse638329,close,5,sine_28Hz,129,130,0.5631490787269682,0.4203157808903795,,,,,8.066524384247204,4.029491139065399,7.431936721346929,3.3272824903128355,7.909326142909081,7.59598660895451,10.639957983778862,9.794229846564308,7.411939032574637,HPF,1900,0.0239002479816167,or,1.7367354432958408
mouse638329,close,5,sine_28Hz,46,130,0.5356783919597989,0.3197918087464741,,,,,5.40680710161222,3.4864561482774823,4.390989959788923,2.202424675419638,5.058686357824121,4.751323640488346,3.8686357824123134,2.56006478758151,4.706354327536752,HPF,1900,0.061040150195133,or,1.7367354432958408
mouse638329,close,5,sine_28Hz,41,130,0.6318257956448912,0.4267116458694324,D,-5.542233338928781e-12,0.1429999999943785,0.0,0.3014772384684956,0.7575120013763114,0.1999999999999999,0.615228805947497,0.26,0.3,0.0,0.0,0.2,HPF,1900,0.0657311377656803,or,1.7367354432958408
mouse638329,close,5,sine_28Hz,38,130,0.5219430485762143,0.7212879296429462,,,,,21.63383002894496,7.084664740542898,22.53938495874623,7.603631513432687,21.13187173569194,19.43506849937842,18.898603123854038,23.48292978830568,23.47669638219532,HPF,1900,0.060391733599118,or,1.7367354432958408
mouse638329,close,5,sine_28Hz,42,131,0.4670016750418761,0.5428903590888214,,,,,17.010701010784462,5.575971699867622,20.488013729577663,4.038109976244921,15.696613252592464,17.236146151636063,16.12086202650323,21.44648818278305,14.040659702038388,HPF,1900,0.0145452706755068,or,1.7367354432958408
mouse638329,close,5,sine_28Hz,131,133,0.5494137353433837,0.4052217083234043,,,,,1.259199395846918,1.8958446369632207,0.495631145143607,0.927643312520781,0.8769706811927314,0.591083258352241,0.8317185547638581,0.0,1.0932799760231295,HPF,1880,0.0265924258116537,or,1.704772712123232
mouse638329,close,5,sine_28Hz,43,133,0.535678391959799,0.4089973500509425,,,,,1.815390483272762,1.974173480236833,0.7999999999999999,1.2017632231097362,1.2,1.417282438358804,1.474718311867012,0.0,1.996194588656782,HPF,1880,0.0356778220610939,or,1.704772712123232
mouse638329,close,5,sine_28Hz,47,134,0.5631490787269682,0.7787341250467791,,,,,1.4752993486580313,1.924745556852732,0.5575593035730299,1.0023693919723644,1.13,0.7999999999999998,0.4999999999999999,0.0,1.2664760452207888,HPF,1860,0.0476096995847782,or,1.704772712123232
mouse638329,close,5,sine_28Hz,48,134,0.1922948073701842,0.6702266432728009,,,,,43.00437974759018,14.526644446072863,46.61557478756794,12.08554410987866,35.92147025464659,36.784367115123,42.03751747588581,35.072485227446954,38.19094382501628,HPF,1860,0.0148223061984533,or,1.704772712123232
mouse638329,close,5,sine_28Hz,49,135,0.5631490787269682,0.2895123190265166,D,-5.542233338928781e-12,0.2919999999942959,0.0,1.0953672997688677,1.5568176301758154,0.6697068119273146,0.9968686975270744,0.7,0.6474718311867012,0.0,0.0,1.0,HPF,1860,0.0451580219764947,or,1.672946502432161
mouse638329,close,5,sine_28Hz,132,138,0.5631490787269682,0.3612912544479248,,,,,1.7201570132005632,1.973423098595924,0.9452650541113856,1.3479010938211469,2.2255129125755184,2.182717561641196,3.644219689499403,1.7487385547638583,2.2213197634484843,HPF,1820,0.043467577248776,or,1.6412647562169853
mouse638329,close,5,sine_28Hz,51,139,0.3433835845896146,0.4982160368653888,,,,,8.335458164736064,5.08461963348321,9.977679792920362,5.610122191160457,6.6466715593115335,5.55505002509851,6.148756637600775,6.279542250419879,8.49808647099603,HPF,1820,0.0177884498211406,or,1.6412647562169853
