mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse655957,far,701,0.1381564637571496,0.103000918727252,0.1513566138601809,3.761181693073994,1.4221777486946745,2.4391855088501533,88.0,85.0,71.0,0.88,0.85,0.71,2.1185195302380393,0.0473451612943943,mouse655957far701,0.1884788478847885,0.724752475247525,0.3264626462646266,0
mouse655957,far,532,0.1053246667356295,0.2257695796648539,0.2418240292287173,5.343069317365337,5.857221608457848,4.899687643401807,68.0,74.0,78.0,0.68,0.74,0.78,2.1791626832340905,0.0479173257338123,mouse655957far532,0.2516651665166517,0.7412241224122413,0.568946894689469,1
mouse655957,far,795,0.1531080493760621,0.18620575538511802,0.2078554853981925,4.9577831659530975,5.1128790357920195,5.375077298656311,70.0,66.0,84.0,0.7000000000000001,0.66,0.84,2.1968727773815213,0.0395615738807177,mouse655957far795,0.1630963096309631,0.8767776777677769,0.2913591359135915,0
mouse655957,far,702,0.1477526808681365,0.2909648803553759,0.2367727485970666,1.35783486441298,0.3558042978010097,6.037128397993971,67.0,53.0,29.0,0.67,0.53,0.29,2.1257351669481315,0.0412973493953449,mouse655957far702,0.16201620162016198,0.7817281728172819,0.3383438343834385,0
mouse657904,close,478,0.2843816994786899,0.1425197157075153,0.2847288632976396,2.5100459272837035,0.5098478926798783,2.5310667794999366,80.0,243.0,74.0,0.8,2.43,0.74,0.5006246098625197,0.0694202083116077,mouse657904close478,0.1765976597659766,0.2643564356435645,0.2141314131413141,2
mouse657904,close,479,0.0207073971598185,0.1298246911558626,0.0467480609595518,4.0311176329005285,1.1682571738857417,1.6665939962714953,575.0,522.0,514.0,5.75,5.22,5.14,0.5320949163448191,0.0534954934538062,mouse657904close479,0.2198019801980197,0.6288928892889291,0.3739873987398739,1
mouse657904,close,485,0.1693686137556935,0.5426261694992603,0.0397031533839642,0.6566363981531048,1.1148229947698272,3.893453200742394,75.0,270.0,33.0,0.75,2.7,0.33,0.5178078794301996,0.07748666983433501,mouse657904close485,0.20198019801980202,0.6064806480648066,0.3575157515751573,0
mouse657904,close,512,0.0651342801916762,0.2605141096058272,0.0825079989031467,0.0193565076808394,2.309745981174344,4.556665655928231,89.0,109.0,95.0,0.89,1.09,0.9500000000000001,0.5024937810560445,0.0819552700436432,mouse657904close512,0.1504050405040503,0.7288028802880289,0.2972997299729975,0
mouse657904,close,481,0.0566744645620339,0.3875802223808501,0.0478768845365695,3.1829905414850272,0.7994346872721073,5.470536316798222,500.0,573.0,232.0,5.0,5.73,2.32,0.5320949163448191,0.0860181830134177,mouse657904close481,0.2108910891089108,0.5535553555355536,0.33591359135913595,0
mouse657904,close,500,0.16090756828626002,0.3660307963806015,0.1137065481718203,4.1357436966896275,2.039037778301282,0.5236166377627174,104.0,351.0,71.0,1.04,3.5100000000000002,0.71,0.5055937104039171,0.0869923316317304,mouse657904close500,0.2662466246624662,0.6199819981998199,0.395049504950495,1
