mouse,probe_position,unitID,VL_pre,VL_stimOn,VL_post,angle_pre_ch15,angle_stimOn_ch15,angle_post_ch15,Nspikes_pre,Nspikes_StimOn,Nspikes_post,Fspikes_pre,Fspikes_StimOn,Fspikes_post,distance_peakch_stim_tip,error_waveform,universal_ID,waveform_halfwidth,waveform_duration,waveform_REP,cluster
mouse634572,close,36,0.09807732625308599,0.0333072183356448,0.06618561998418401,5.845698398178418,3.5573860330397333,2.129761675040065,444.0,622.0,588.0,4.44,6.22,5.88,1.6830032679706837,0.028258529516988998,mouse634572close36,0.2071107110711072,0.7066606660666068,0.4485148514851483,3
mouse634572,close,274,0.1592571887926225,0.09323611068337,0.2587943766706147,2.7203976832120462,3.760021361743992,3.380863592795261,230.0,255.0,130.0,2.3000000000000003,2.5500000000000003,1.3,1.6830032679706837,0.0835880151015311,mouse634572close274,0.2027902790279028,0.5457245724572457,0.19495949594959502,3
mouse634572,close,40,0.0738527365820129,0.0851811265665489,0.0988611130173284,2.5745535937257418,2.8503509319524563,3.616477769759625,254.0,425.0,184.0,2.54,4.25,1.84,1.6830032679706837,0.0655012087284033,mouse634572close40,0.1841584158415842,0.37290729072907297,0.3904590459045904,3
mouse634572,close,48,0.1298840866517279,0.0408414105976522,0.1198901981090383,2.43870127095043,2.9348689630165965,3.3502362567487243,243.0,171.0,128.0,2.43,1.71,1.28,1.6280740155164937,0.0259268027185321,mouse634572close48,0.2068406840684069,0.7001800180018003,0.4711971197119712,3
mouse634572,close,53,0.1562943942192583,0.16922326425667497,0.2466505749325259,2.8873746394503748,3.908339320641242,3.543339191033486,463.0,307.0,280.0,4.63,3.0700000000000003,2.8000000000000003,1.6280740155164937,0.0292319768563577,mouse634572close53,0.2092709270927092,0.641044104410441,0.4112511251125114,3
mouse634572,close,55,0.1566968529817889,0.1102866417704126,0.1643565180758285,1.9857511695542642,1.588904043424577,2.971843156918609,70.0,81.0,131.0,0.7000000000000001,0.81,1.31,1.6132265804901684,0.032449918421653,mouse634572close55,0.1976597659765977,0.6718271827182719,0.3815481548154814,3
mouse634572,close,58,0.0845444843526085,0.0625406540340734,0.0705456800249275,2.3616703551570257,3.462448560399888,0.9946186537616432,436.0,455.0,500.0,4.36,4.55,5.0,1.593149396635482,0.0244088960990263,mouse634572close58,0.20792079207920802,0.6839783978397839,0.4487848784878491,3
mouse634572,close,72,0.2225039219812402,0.1896407893979745,0.261510093464493,2.207758715768351,2.139410211472355,2.6431255294027025,176.0,254.0,256.0,1.76,2.54,2.56,1.5435349040433133,0.0486548852002224,mouse634572close72,0.2738073807380738,0.7058505850585058,0.3558955895589558,1
mouse634572,close,75,0.1966577259612992,0.2007110367759489,0.05578615331512099,1.5067016100779131,1.56390998052301,1.5553052797904472,491.0,161.0,83.0,4.91,1.61,0.8300000000000001,1.5087246269614614,0.0522731413361268,mouse634572close75,0.2638163816381638,0.6440144014401441,0.4371737173717375,1
mouse634572,close,88,0.2735687793269142,0.1741449721121121,0.2793079501020558,1.6823125393289289,1.8205831104857357,1.8132039921713141,3222.0,2714.0,2925.0,32.22,27.14,29.25,1.425,0.0110137044309921,mouse634572close88,0.1436543654365436,0.2702970297029703,0.2465346534653465,0
mouse634572,close,92,0.3662103200098388,0.2930461029141185,0.3391144463241397,1.457598174737761,1.5911496646888197,1.6028586589490017,786.0,545.0,605.0,7.86,5.45,6.05,1.4111165791670084,0.019907993028571998,mouse634572close92,0.2052205220522053,0.5570657065706572,0.3626462646264625,3
mouse634572,close,43,0.2519986067219396,0.1630345543064119,0.3205890231159861,3.7287847080447882,4.570830272185129,4.451041277505334,109.0,119.0,257.0,1.09,1.19,2.57,1.6830032679706837,0.0211492858829116,mouse634572close43,0.2054905490549055,0.6820882088208822,0.5513951395139515,3
mouse634572,close,66,0.2282041548817057,0.2562680133432214,0.3159081910449243,2.522049590338787,2.6195018057400534,2.7512699384308186,537.0,263.0,159.0,5.37,2.63,1.59,1.5783694117664595,0.0529626133802178,mouse634572close66,0.1817281728172818,0.5943294329432944,0.2802880288028804,3
mouse634572,close,69,0.1978725718207103,0.1055766657392707,0.1941373974709586,1.6851310125741563,1.3152992450579342,2.8735726090707407,495.0,220.0,121.0,4.95,2.2,1.21,1.5435349040433133,0.0699695413622535,mouse634572close69,0.2935193519351936,0.6523852385238524,0.3928892889288929,1
